tag,clicks,median_ms,p25_ms,p75_ms,sd_ms,avg_drag_px
canvas,2792,124.0,99.0,150.0,232.6,0.4
button,1374,108.0,90.0,126.0,28.7,0.2
div,536,116.0,92.0,136.5,87.2,0.3
input,110,109.0,92.0,124.8,200.0,0.3
a,99,108.0,83.0,133.0,95.6,0.1
label,67,109.0,100.0,115.0,15.7,0.5
img,35,125.0,117.0,136.5,158.9,0.7
path,31,98.0,80.5,131.5,38.0,0.9
select,29,102.0,102.0,105.0,29.3,0.0
section,23,116.0,98.5,133.0,26.9,0.0
svg,22,90.0,75.2,101.0,297.4,0.4
p,21,97.0,80.0,132.0,65.7,0.4
span,20,119.5,104.8,149.2,127.8,0.4
body,8,113.5,88.8,130.5,30.4,0.1
summary,7,92.0,76.5,141.0,50.1,0.0
h1,6,58.5,17.0,136.8,64.0,0.0
html,5,74.0,72.0,88.0,11.3,0.0
nav,5,116.0,116.0,117.0,31.3,2.8
h3,3,134.0,129.5,141.5,9.9,2.3
h2,3,97.0,90.0,123.0,28.4,1.0
h4,2,429.0,428.5,429.5,1.0,0.0
kbd,1,143.0,143.0,143.0,0.0,0.0
strong,1,167.0,167.0,167.0,0.0,0.0
td,1,172.0,172.0,172.0,0.0,0.0
