target_id,tag,clicks,median_ms,p25_ms,p75_ms,sd_ms
screen,canvas,2782,124.0,99.0,150.0,233.0
main-mic-button,button,285,105.0,89.0,123.0,27.9
enable-audio,button,112,100.0,83.0,117.0,24.5
screen-container,div,91,116.0,95.0,145.0,42.9
hand-overlay-toggle,input,26,119.0,105.0,133.8,16.1
sys-audio-start,button,23,111.0,99.5,120.0,17.6
selector-close-hit,div,21,96.0,68.0,114.0,23.6
mic-input-select,select,20,102.0,101.8,105.0,34.1
oled-mode-toggle,input,15,131.0,115.5,149.0,29.5
help-mic-button,button,14,73.0,65.2,81.2,19.0
fb-pitch-slider,input,10,111.0,42.0,125.0,634.6
fb-step-controls,div,9,115.0,90.0,116.0,35.6
kaleido-btn,button,8,90.5,72.0,116.2,26.7
smruti-cortex-overlay,div,8,112.0,105.2,128.8,25.9
camera-input-select,select,7,104.0,102.5,105.0,1.7
motion-body-diagram,div,6,19.5,18.2,74.0,34.7
smoothing-level,input,6,130.5,113.5,138.5,13.9
force-field,section,5,114.0,91.0,133.0,23.2
hero,section,5,116.0,100.0,117.0,21.9
rec-close,button,4,86.5,61.5,119.2,35.2
